season,team,venue,opponent,opponent_pot,points,matchday
2025-26,Ajax,away,Chelsea,1,0,3
2025-26,Eintracht Frankfurt,home,Liverpool,1,0,3
2025-26,Liverpool,away,Eintracht Frankfurt,2,3,3
2025-26,Bayern Munich,home,Club Brugge,2,3,3
2025-26,Club Brugge,away,Bayern Munich,1,0,3
2025-26,Real Madrid,home,Juventus,2,3,3
2025-26,Juventus,away,Real Madrid,1,0,3
2025-26,Sporting CP,home,Marseille,3,3,3
2025-26,Marseille,away,Sporting CP,3,0,3
2025-26,Slavia Prague,home,Arsenal,2,0,4
2025-26,Arsenal,away,Slavia Prague,3,3,4
2025-26,Napoli,home,Eintracht Frankfurt,2,1,4
2025-26,Eintracht Frankfurt,away,Napoli,3,1,4
2025-26,Atlético Madrid,home,Union Saint-Gilloise,4,3,4
2025-26,Union Saint-Gilloise,away,Atlético Madrid,2,0,4
2025-26,Bodø/Glimt,home,Monaco,4,0,4
2025-26,Monaco,away,Bodø/Glimt,3,3,4
2025-26,Juventus,home,Sporting CP,3,1,4
2025-26,Sporting CP,away,Juventus,2,1,4
2025-26,Liverpool,home,Real Madrid,1,3,4
2025-26,Real Madrid,away,Liverpool,1,0,4
2025-26,Olympiacos,home,PSV Eindhoven,3,1,4
2025-26,PSV Eindhoven,away,Olympiacos,3,1,4
2025-26,Paris Saint-Germain,home,Bayern Munich,1,0,4
2025-26,Bayern Munich,away,Paris Saint-Germain,1,3,4
2025-26,Tottenham Hotspur,home,Copenhagen,4,3,4
2025-26,Copenhagen,away,Tottenham Hotspur,3,0,4
2025-26,Pafos,home,Villarreal,2,3,4
2025-26,Villarreal,away,Pafos,4,0,4
2025-26,Qarabag,home,Chelsea,1,1,4
2025-26,Chelsea,away,Qarabag,4,1,4
2025-26,Ajax,home,Galatasaray,4,0,4
2025-26,Galatasaray,away,Ajax,3,3,4
2025-26,Club Brugge,home,Barcelona,1,1,4
2025-26,Barcelona,away,Club Brugge,2,1,4
2025-26,Inter Milan,home,Kairat,4,3,4
2025-26,Kairat,away,Inter Milan,1,0,4
2025-26,Manchester City,home,Borussia Dortmund,1,3,4
2025-26,Borussia Dortmund,away,Manchester City,1,0,4
2025-26,Newcastle United,home,Athletic Bilbao,4,3,4
2025-26,Athletic Bilbao,away,Newcastle United,4,0,4
2025-26,Marseille,home,Atalanta,2,0,4
2025-26,Atalanta,away,Marseille,3,3,4
2025-26,Benfica,home,Bayer Leverkusen,2,0,4
2025-26,Bayer Leverkusen,away,Benfica,2,3,4
