competition,season,matchday,home_team,away_team,home_goals,away_goals,source_url
ucl,2024-25,2,Sturm Graz,Club Brugge,0,1,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,2,Benfica,Atlético Madrid,4,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,3,Milan,Club Brugge,3,1,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,3,Monaco,Red Star Belgrade,5,1,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,3,Arsenal,Shakhtar Donetsk,1,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,3,Aston Villa,Bologna,2,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,3,Girona,Slovan Bratislava,2,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,3,Juventus,VfB Stuttgart,0,1,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,3,Paris Saint-Germain,PSV Eindhoven,1,1,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,3,Real Madrid,Borussia Dortmund,5,2,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,3,Sturm Graz,Sporting CP,0,2,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,3,Atalanta,Celtic,0,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,3,Brest,Bayer Leverkusen,1,1,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,3,Atlético Madrid,Lille,1,3,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,3,Young Boys,Inter Milan,0,1,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,3,Barcelona,Bayern Munich,4,1,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,3,Red Bull Salzburg,Dinamo Zagreb,0,2,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,3,Manchester City,Sparta Prague,5,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,3,RB Leipzig,Liverpool,0,1,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,3,Benfica,Feyenoord,1,3,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,4,PSV Eindhoven,Girona,4,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,4,Slovan Bratislava,Dinamo Zagreb,1,4,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,4,Bologna,Monaco,0,1,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,4,Borussia Dortmund,Sturm Graz,1,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,4,Celtic,RB Leipzig,3,1,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,4,Liverpool,Bayer Leverkusen,4,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,4,Lille,Juventus,1,1,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,4,Real Madrid,Milan,1,3,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,4,Sporting CP,Manchester City,4,1,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,4,Club Brugge,Aston Villa,1,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,4,Shakhtar Donetsk,Young Boys,2,1,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,4,Sparta Prague,Brest,1,2,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,4,Inter Milan,Arsenal,1,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,4,Feyenoord,Red Bull Salzburg,1,3,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,4,Red Star Belgrade,Barcelona,2,5,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,4,Paris Saint-Germain,Atlético Madrid,1,2,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,4,VfB Stuttgart,Atalanta,0,2,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
