competition,season,matchday,home_team,away_team,home_goals,away_goals,source_url
ucl,2025-26,3,Eintracht Frankfurt,Liverpool,1,5,https://en.wikipedia.org/wiki/2025%E2%80%9326_UEFA_Champions_League_league_phase
ucl,2025-26,3,Bayern Munich,Club Brugge,4,0,https://en.wikipedia.org/wiki/2025%E2%80%9326_UEFA_Champions_League_league_phase
ucl,2025-26,3,Real Madrid,Juventus,1,0,https://en.wikipedia.org/wiki/2025%E2%80%9326_UEFA_Champions_League_league_phase
ucl,2025-26,3,Sporting CP,Marseille,2,1,https://en.wikipedia.org/wiki/2025%E2%80%9326_UEFA_Champions_League_league_phase
ucl,2025-26,4,Slavia Prague,Arsenal,0,3,https://en.wikipedia.org/wiki/2025%E2%80%9326_UEFA_Champions_League_league_phase
ucl,2025-26,4,Napoli,Eintracht Frankfurt,0,0,https://en.wikipedia.org/wiki/2025%E2%80%9326_UEFA_Champions_League_league_phase
ucl,2025-26,4,Atlético Madrid,Union Saint-Gilloise,3,1,https://en.wikipedia.org/wiki/2025%E2%80%9326_UEFA_Champions_League_league_phase
ucl,2025-26,4,Bodø/Glimt,Monaco,0,1,https://en.wikipedia.org/wiki/2025%E2%80%9326_UEFA_Champions_League_league_phase
ucl,2025-26,4,Juventus,Sporting CP,1,1,https://en.wikipedia.org/wiki/2025%E2%80%9326_UEFA_Champions_League_league_phase
ucl,2025-26,4,Liverpool,Real Madrid,1,0,https://en.wikipedia.org/wiki/2025%E2%80%9326_UEFA_Champions_League_league_phase
ucl,2025-26,4,Olympiacos,PSV Eindhoven,1,1,https://en.wikipedia.org/wiki/2025%E2%80%9326_UEFA_Champions_League_league_phase
ucl,2025-26,4,Paris Saint-Germain,Bayern Munich,1,2,https://en.wikipedia.org/wiki/2025%E2%80%9326_UEFA_Champions_League_league_phase
ucl,2025-26,4,Tottenham Hotspur,Copenhagen,4,0,https://en.wikipedia.org/wiki/2025%E2%80%9326_UEFA_Champions_League_league_phase
ucl,2025-26,4,Pafos,Villarreal,1,0,https://en.wikipedia.org/wiki/2025%E2%80%9326_UEFA_Champions_League_league_phase
ucl,2025-26,4,Qarabağ,Chelsea,2,2,https://en.wikipedia.org/wiki/2025%E2%80%9326_UEFA_Champions_League_league_phase
ucl,2025-26,4,Ajax,Galatasaray,0,3,https://en.wikipedia.org/wiki/2025%E2%80%9326_UEFA_Champions_League_league_phase
ucl,2025-26,4,Club Brugge,Barcelona,3,3,https://en.wikipedia.org/wiki/2025%E2%80%9326_UEFA_Champions_League_league_phase
ucl,2025-26,4,Inter Milan,Kairat,2,1,https://en.wikipedia.org/wiki/2025%E2%80%9326_UEFA_Champions_League_league_phase
ucl,2025-26,4,Manchester City,Borussia Dortmund,4,1,https://en.wikipedia.org/wiki/2025%E2%80%9326_UEFA_Champions_League_league_phase
ucl,2025-26,4,Newcastle United,Athletic Bilbao,2,0,https://en.wikipedia.org/wiki/2025%E2%80%9326_UEFA_Champions_League_league_phase
ucl,2025-26,4,Marseille,Atalanta,0,1,https://en.wikipedia.org/wiki/2025%E2%80%9326_UEFA_Champions_League_league_phase
ucl,2025-26,4,Benfica,Bayer Leverkusen,0,1,https://en.wikipedia.org/wiki/2025%E2%80%9326_UEFA_Champions_League_league_phase
