team,venue,opponent_pot,count,remaining,baseline_ep_per_game
Copenhagen,away,3,1.0,0.0,1.4166666666666667
Copenhagen,away,4,1.0,0.0,1.6111111111111112
Eintracht Frankfurt,home,1,1.0,0.0,1.6111111111111112
Eintracht Frankfurt,home,2,0.0,1.0,1.2222222222222223
Eintracht Frankfurt,home,3,0.0,1.0,1.8888888888888888
Eintracht Frankfurt,home,4,1.0,0.0,2.1944444444444446
Eintracht Frankfurt,away,1,0.0,1.0,0.6111111111111112
Eintracht Frankfurt,away,2,1.0,0.0,0.9444444444444444
Eintracht Frankfurt,away,3,1.0,0.0,1.4166666666666667
Eintracht Frankfurt,away,4,0.0,1.0,1.6111111111111112
Galatasaray,home,1,1.0,0.0,1.6111111111111112
Galatasaray,home,2,0.0,1.0,1.2222222222222223
Galatasaray,home,3,1.0,0.0,1.8888888888888888
Galatasaray,home,4,0.0,1.0,2.1944444444444446
Galatasaray,away,1,0.0,1.0,0.6111111111111112
Galatasaray,away,2,1.0,0.0,0.9444444444444444
Galatasaray,away,3,1.0,0.0,1.4166666666666667
Galatasaray,away,4,0.0,1.0,1.6111111111111112
Inter Milan,home,1,0.0,1.0,1.6111111111111112
Inter Milan,home,2,0.0,1.0,1.2222222222222223
Inter Milan,home,3,1.0,0.0,1.8888888888888888
Inter Milan,home,4,1.0,0.0,2.1944444444444446
Inter Milan,away,1,0.0,1.0,0.6111111111111112
Inter Milan,away,2,0.0,1.0,0.9444444444444444
Inter Milan,away,3,1.0,0.0,1.4166666666666667
Inter Milan,away,4,1.0,0.0,1.6111111111111112
Juventus,home,1,1.0,0.0,1.6111111111111112
Juventus,home,2,0.0,1.0,1.2222222222222223
Juventus,home,3,1.0,0.0,1.8888888888888888
Juventus,home,4,0.0,1.0,2.1944444444444446
Juventus,away,1,1.0,0.0,0.6111111111111112
Juventus,away,2,1.0,0.0,0.9444444444444444
Juventus,away,3,0.0,1.0,1.4166666666666667
Juventus,away,4,0.0,1.0,1.6111111111111112
Kairat,home,1,1.0,0.0,1.6111111111111112
Kairat,home,2,0.0,1.0,1.2222222222222223
Kairat,home,3,0.0,1.0,1.8888888888888888
Kairat,home,4,1.0,0.0,2.1944444444444446
Kairat,away,1,1.0,0.0,0.6111111111111112
Kairat,away,2,0.0,1.0,0.9444444444444444
Kairat,away,3,1.0,0.0,1.4166666666666667
Kairat,away,4,0.0,1.0,1.6111111111111112
Liverpool,home,1,1.0,0.0,1.6111111111111112
Liverpool,home,2,1.0,0.0,1.2222222222222223
Liverpool,home,3,0.0,1.0,1.8888888888888888
Liverpool,home,4,0.0,1.0,2.1944444444444446
Liverpool,away,1,0.0,1.0,0.6111111111111112
Liverpool,away,2,1.0,0.0,0.9444444444444444
Liverpool,away,3,0.0,1.0,1.4166666666666667
Liverpool,away,4,1.0,0.0,1.6111111111111112
Manchester City,home,1,1.0,0.0,1.6111111111111112
Manchester City,home,2,0.0,1.0,1.2222222222222223
Manchester City,home,3,1.0,0.0,1.8888888888888888
Manchester City,home,4,0.0,1.0,2.1944444444444446
Manchester City,away,1,0.0,1.0,0.6111111111111112
Manchester City,away,2,1.0,0.0,0.9444444444444444
Manchester City,away,3,0.0,1.0,1.4166666666666667
Manchester City,away,4,1.0,0.0,1.6111111111111112
Marseille,home,1,0.0,1.0,1.6111111111111112
Marseille,home,2,1.0,0.0,1.2222222222222223
Marseille,home,3,1.0,0.0,1.8888888888888888
Marseille,home,4,0.0,1.0,2.1944444444444446
Marseille,away,1,1.0,0.0,0.6111111111111112
Marseille,away,2,0.0,1.0,0.9444444444444444
Marseille,away,3,1.0,0.0,1.4166666666666667
Marseille,away,4,0.0,1.0,1.6111111111111112
Monaco,home,1,1.0,0.0,1.6111111111111112
Monaco,home,2,0.0,1.0,1.2222222222222223
Monaco,home,3,1.0,0.0,1.8888888888888888
Monaco,home,4,0.0,1.0,2.1944444444444446
Monaco,away,1,0.0,1.0,0.6111111111111112
Monaco,away,2,1.0,0.0,0.9444444444444444
Monaco,away,3,1.0,0.0,1.4166666666666667
Monaco,away,4,0.0,1.0,1.6111111111111112
Napoli,home,1,0.0,1.0,1.6111111111111112
Napoli,home,2,1.0,0.0,1.2222222222222223
Napoli,home,3,1.0,0.0,1.8888888888888888
Napoli,home,4,0.0,1.0,2.1944444444444446
Napoli,away,1,1.0,0.0,0.6111111111111112
Napoli,away,2,0.0,1.0,0.9444444444444444
Napoli,away,3,1.0,0.0,1.4166666666666667
Napoli,away,4,0.0,1.0,1.6111111111111112
Newcastle United,home,1,1.0,0.0,1.6111111111111112
Newcastle United,home,2,1.0,0.0,1.2222222222222223
Newcastle United,home,3,0.0,1.0,1.8888888888888888
Newcastle United,home,4,1.0,0.0,2.1944444444444446
Newcastle United,away,1,0.0,1.0,0.6111111111111112
Newcastle United,away,2,0.0,1.0,0.9444444444444444
Newcastle United,away,3,0.0,1.0,1.4166666666666667
Newcastle United,away,4,1.0,0.0,1.6111111111111112
Olympiacos,home,1,0.0,1.0,1.6111111111111112
Olympiacos,home,2,0.0,1.0,1.2222222222222223
Olympiacos,home,3,1.0,0.0,1.8888888888888888
Olympiacos,home,4,1.0,0.0,2.1944444444444446
Olympiacos,away,1,1.0,0.0,0.6111111111111112
Olympiacos,away,2,1.0,0.0,0.9444444444444444
Olympiacos,away,3,0.0,1.0,1.4166666666666667
Olympiacos,away,4,0.0,1.0,1.6111111111111112
PSV Eindhoven,home,1,0.0,1.0,1.6111111111111112
PSV Eindhoven,home,2,0.0,1.0,1.2222222222222223
PSV Eindhoven,home,3,1.0,0.0,1.8888888888888888
PSV Eindhoven,home,4,1.0,0.0,2.1944444444444446
PSV Eindhoven,away,1,0.0,1.0,0.6111111111111112
PSV Eindhoven,away,2,1.0,0.0,0.9444444444444444
PSV Eindhoven,away,3,1.0,0.0,1.4166666666666667
PSV Eindhoven,away,4,0.0,1.0,1.6111111111111112
Pafos,home,1,1.0,0.0,1.6111111111111112
Pafos,home,2,1.0,0.0,1.2222222222222223
Pafos,home,3,0.0,1.0,1.8888888888888888
Pafos,home,4,0.0,1.0,2.1944444444444446
Pafos,away,1,0.0,1.0,0.6111111111111112
Pafos,away,2,0.0,1.0,0.9444444444444444
Pafos,away,3,1.0,0.0,1.4166666666666667
Pafos,away,4,1.0,0.0,1.6111111111111112
Paris Saint-Germain,home,1,1.0,0.0,1.6111111111111112
Paris Saint-Germain,home,2,1.0,0.0,1.2222222222222223
Paris Saint-Germain,home,3,0.0,1.0,1.8888888888888888
Paris Saint-Germain,home,4,0.0,1.0,2.1944444444444446
Paris Saint-Germain,away,1,1.0,0.0,0.6111111111111112
Paris Saint-Germain,away,2,1.0,0.0,0.9444444444444444
Paris Saint-Germain,away,3,0.0,1.0,1.4166666666666667
Paris Saint-Germain,away,4,0.0,1.0,1.6111111111111112
Qarabag,home,1,1.0,0.0,1.6111111111111112
Qarabag,home,2,0.0,1.0,1.2222222222222223
Qarabag,home,3,0.0,1.0,1.8888888888888888
Qarabag,home,4,1.0,0.0,2.1944444444444446
Qarabag,away,1,0.0,1.0,0.6111111111111112
Qarabag,away,2,1.0,0.0,0.9444444444444444
Qarabag,away,3,0.0,1.0,1.4166666666666667
Qarabag,away,4,1.0,0.0,1.6111111111111112
Real Madrid,home,1,0.0,1.0,1.6111111111111112
Real Madrid,home,2,1.0,0.0,1.2222222222222223
Real Madrid,home,3,1.0,0.0,1.8888888888888888
Real Madrid,home,4,0.0,1.0,2.1944444444444446
Real Madrid,away,1,1.0,0.0,0.6111111111111112
Real Madrid,away,2,0.0,1.0,0.9444444444444444
Real Madrid,away,3,0.0,1.0,1.4166666666666667
Real Madrid,away,4,1.0,0.0,1.6111111111111112
Slavia Prague,home,1,0.0,1.0,1.6111111111111112
Slavia Prague,home,2,1.0,0.0,1.2222222222222223
Slavia Prague,home,3,1.0,0.0,1.8888888888888888
Slavia Prague,home,4,0.0,1.0,2.1944444444444446
Slavia Prague,away,1,1.0,0.0,0.6111111111111112
Slavia Prague,away,2,1.0,0.0,0.9444444444444444
Slavia Prague,away,3,0.0,1.0,1.4166666666666667
Slavia Prague,away,4,0.0,1.0,1.6111111111111112
Sporting CP,home,1,0.0,1.0,1.6111111111111112
Sporting CP,home,2,0.0,1.0,1.2222222222222223
Sporting CP,home,3,1.0,0.0,1.8888888888888888
Sporting CP,home,4,1.0,0.0,2.1944444444444446
Sporting CP,away,1,0.0,1.0,0.6111111111111112
Sporting CP,away,2,1.0,0.0,0.9444444444444444
Sporting CP,away,3,1.0,0.0,1.4166666666666667
Sporting CP,away,4,0.0,1.0,1.6111111111111112
Tottenham Hotspur,home,1,0.0,1.0,1.6111111111111112
Tottenham Hotspur,home,2,1.0,0.0,1.2222222222222223
Tottenham Hotspur,home,3,0.0,1.0,1.8888888888888888
Tottenham Hotspur,home,4,1.0,0.0,2.1944444444444446
Tottenham Hotspur,away,1,0.0,1.0,0.6111111111111112
Tottenham Hotspur,away,2,0.0,1.0,0.9444444444444444
Tottenham Hotspur,away,3,1.0,0.0,1.4166666666666667
Tottenham Hotspur,away,4,1.0,0.0,1.6111111111111112
Union Saint-Gilloise,home,1,1.0,0.0,1.6111111111111112
Union Saint-Gilloise,home,2,0.0,1.0,1.2222222222222223
Union Saint-Gilloise,home,3,0.0,1.0,1.8888888888888888
Union Saint-Gilloise,home,4,1.0,0.0,2.1944444444444446
Union Saint-Gilloise,away,1,0.0,1.0,0.6111111111111112
Union Saint-Gilloise,away,2,1.0,0.0,0.9444444444444444
Union Saint-Gilloise,away,3,1.0,0.0,1.4166666666666667
Union Saint-Gilloise,away,4,0.0,1.0,1.6111111111111112
Villarreal,home,1,1.0,0.0,1.6111111111111112
Villarreal,home,2,1.0,0.0,1.2222222222222223
Villarreal,home,3,0.0,1.0,1.8888888888888888
Villarreal,home,4,0.0,1.0,2.1944444444444446
Villarreal,away,1,0.0,1.0,0.6111111111111112
Villarreal,away,2,0.0,1.0,0.9444444444444444
Villarreal,away,3,1.0,0.0,1.4166666666666667
Villarreal,away,4,1.0,0.0,1.6111111111111112
