season,team,venue,opponent,opponent_pot,points,matchday
2024-25,Young Boys,home,Aston Villa,4,0,1
2024-25,Aston Villa,away,Young Boys,3,3,1
2024-25,Juventus,home,PSV Eindhoven,3,3,1
2024-25,PSV Eindhoven,away,Juventus,2,0,1
2024-25,Milan,home,Liverpool,1,0,1
2024-25,Liverpool,away,Milan,2,3,1
2024-25,Bayern Munich,home,Dinamo Zagreb,3,3,1
2024-25,Dinamo Zagreb,away,Bayern Munich,1,0,1
2024-25,Real Madrid,home,VfB Stuttgart,4,3,1
2024-25,VfB Stuttgart,away,Real Madrid,1,0,1
2024-25,Sporting CP,home,LOSC Lille,3,3,1
2024-25,LOSC Lille,away,Sporting CP,3,0,1
2024-25,Sparta Prague,home,Red Bull Salzburg,3,3,1
2024-25,Red Bull Salzburg,away,Sparta Prague,4,0,1
2024-25,Bologna,home,Shakhtar Donetsk,2,1,1
2024-25,Shakhtar Donetsk,away,Bologna,4,1,1
2024-25,Celtic,home,Slovan Bratislava,4,3,1
2024-25,Slovan Bratislava,away,Celtic,3,0,1
2024-25,Club Brugge,home,Borussia Dortmund,1,0,1
2024-25,Borussia Dortmund,away,Club Brugge,2,3,1
2024-25,Manchester City,home,Inter Milan,1,1,1
2024-25,Inter Milan,away,Manchester City,1,1,1
2024-25,Paris Saint-Germain,home,Girona,4,3,1
2024-25,Girona,away,Paris Saint-Germain,1,0,1
2024-25,Feyenoord,home,Bayer Leverkusen,2,0,1
2024-25,Bayer Leverkusen,away,Feyenoord,3,3,1
2024-25,Red Star Belgrade,home,Benfica,2,0,1
2024-25,Benfica,away,Red Star Belgrade,3,3,1
2024-25,Monaco,home,Barcelona,1,3,1
2024-25,Barcelona,away,Monaco,4,0,1
2024-25,Atalanta,home,Arsenal,2,1,1
2024-25,Arsenal,away,Atalanta,2,1,1
2024-25,Atlético Madrid,home,RB Leipzig,1,3,1
2024-25,RB Leipzig,away,Atlético Madrid,2,0,1
2024-25,Brest,home,Sturm Graz,4,3,1
2024-25,Sturm Graz,away,Brest,4,0,1
2024-25,Red Bull Salzburg,home,Brest,4,0,2
2024-25,Brest,away,Red Bull Salzburg,3,3,2
2024-25,VfB Stuttgart,home,Sparta Prague,4,1,2
2024-25,Sparta Prague,away,VfB Stuttgart,4,1,2
2024-25,Arsenal,home,Paris Saint-Germain,1,3,2
2024-25,Paris Saint-Germain,away,Arsenal,2,0,2
2024-25,Bayer Leverkusen,home,Milan,2,3,2
2024-25,Milan,away,Bayer Leverkusen,2,0,2
2024-25,Borussia Dortmund,home,Celtic,3,3,2
2024-25,Celtic,away,Borussia Dortmund,1,0,2
2024-25,Barcelona,home,Young Boys,3,3,2
2024-25,Young Boys,away,Barcelona,1,0,2
2024-25,Inter Milan,home,Red Star Belgrade,3,3,2
2024-25,Red Star Belgrade,away,Inter Milan,1,0,2
2024-25,PSV Eindhoven,home,Sporting CP,3,1,2
2024-25,Sporting CP,away,PSV Eindhoven,3,1,2
2024-25,Slovan Bratislava,home,Manchester City,1,0,2
2024-25,Manchester City,away,Slovan Bratislava,4,3,2
2024-25,Shakhtar Donetsk,home,Atalanta,2,0,2
2024-25,Atalanta,away,Shakhtar Donetsk,2,3,2
2024-25,Girona,home,Feyenoord,3,0,2
2024-25,Feyenoord,away,Girona,4,3,2
2024-25,Aston Villa,home,Bayern Munich,1,3,2
2024-25,Bayern Munich,away,Aston Villa,4,0,2
2024-25,Dinamo Zagreb,home,Monaco,4,1,2
2024-25,Monaco,away,Dinamo Zagreb,3,1,2
2024-25,Liverpool,home,Bologna,4,3,2
2024-25,Bologna,away,Liverpool,1,0,2
2024-25,LOSC Lille,home,Real Madrid,1,3,2
2024-25,Real Madrid,away,LOSC Lille,3,0,2
2024-25,RB Leipzig,home,Juventus,2,0,2
2024-25,Juventus,away,RB Leipzig,1,3,2
2024-25,Sturm Graz,home,Club Brugge,2,0,2
2024-25,Club Brugge,away,Sturm Graz,4,3,2
2024-25,Benfica,home,Atlético Madrid,2,3,2
