venue,opponent_pot,avg_points,matches,std,se
away,1,0.6111111111111112,36,1.1282800507922992,0.18804667513204987
away,2,0.9444444444444444,36,1.3297571087435363,0.22162618479058938
away,3,1.4166666666666667,36,1.4015297764534702,0.23358829607557838
away,4,1.6111111111111112,36,1.4397971638449192,0.2399661939741532
home,1,1.6111111111111112,36,1.4981470036162818,0.24969116726938032
home,2,1.2222222222222223,36,1.3333333333333333,0.2222222222222222
home,3,1.8888888888888888,36,1.3685817012571346,0.22809695020952245
home,4,2.1944444444444446,36,1.260826133803761,0.21013768896729348
